Year,New South Wales,Victoria,Queensland,Western Australia,South Australia,Tasmania,Northern Territory
1960,568.20,378.10,159.40,99.60,91.40,39.10,4.80
1961,579.40,389.20,162.70,99.10,94.70,38.90,5.60
1962,594.90,410.40,177.20,103.90,101.60,42.30,4.70
1963,638.60,438.20,185.50,110.80,111.20,45.70,5.80
1964,678.20,460.70,197.90,115.90,123.40,47.30,6.40
1965,702.20,485.30,218.40,124.60,132.10,48.40,6.50
1966,739.60,503.60,237.80,136.20,137.50,50.70,6.90
1967,779.60,521.40,249.00,157.10,143.00,52.60,8.70
1968,810.30,543.30,268.80,169.40,168.10,59.60,12.30
1969,833.10,581.30,285.30,189.80,187.10,61.20,14.00
1970,853.30,599.30,292.80,209.10,191.90,65.50,15.90
1971,883.50,636.20,320.20,221.70,189.10,65.70,18.70
1972,927.10,656.00,337.90,239.10,202.50,68.30,24.10
1973,943.00,710.90,371.30,272.60,215.40,71.90,30.10
1974,964.70,731.00,392.60,279.60,222.80,71.30,32.80
1975,934.00,752.80,410.00,296.50,234.50,71.90,31.20
1976,980.20,802.10,441.80,322.10,249.30,77.00,33.60
1977,1011.30,823.10,461.20,328.40,247.70,78.40,35.10
1978,1019.30,857.30,463.20,336.00,259.60,82.00,35.70
1979,1059.00,869.40,480.20,334.10,264.20,84.60,40.00
1980,1060.40,880.80,502.90,322.00,255.70,83.30,41.30
1981,1077.80,939.40,537.20,300.10,260.00,84.50,38.60
1982,1002.50,896.50,541.50,304.60,254.60,82.30,40.80
1983,1045.60,904.90,571.60,313.90,258.00,83.30,43.80
1984,1080.30,936.20,600.30,343.10,280.20,85.00,45.80
1985,1108.70,926.40,604.80,344.80,284.50,86.40,47.00
1986,1137.10,979.50,620.00,358.40,284.70,85.40,49.30
1987,1143.30,1014.50,642.40,391.10,291.10,89.50,51.10
1988,1194.20,1090.20,678.30,427.70,299.30,92.00,51.00
1989,1230.40,1099.80,691.80,473.00,301.90,96.60,52.50
1990,1228.60,1090.90,702.00,488.40,287.40,97.60,55.00
1991,1219.40,1108.70,715.00,496.40,296.90,89.30,56.90
1992,1249.10,1104.70,758.50,522.00,300.10,90.10,57.20
1993,1276.70,1102.50,793.20,554.10,304.80,92.00,58.50
1994,1314.60,1152.20,847.30,592.70,304.40,92.40,61.80
1995,1351.20,1184.90,882.70,630.20,296.60,93.00,67.00
1996,1380.60,1202.70,914.10,649.60,299.70,94.80,69.70
1997,1382.00,1286.30,968.50,662.60,311.90,95.80,70.40
1998,1413.80,1318.30,983.80,672.80,327.20,95.70,73.20
1999,1426.30,1346.30,1009.70,688.50,328.00,95.80,76.40
2000,1450.50,1337.20,1020.00,708.10,329.30,93.60,73.20
2001,1445.70,1371.90,1057.80,722.90,328.10,97.20,73.40
2002,1510.50,1330.60,1064.00,720.00,357.30,99.50,56.80
2003,1574.80,1364.90,1081.10,730.30,371.50,103.40,58.70
2004,1544.90,1356.50,1225.10,748.20,355.60,107.40,61.50
2005,1546.00,1429.50,1279.50,757.10,350.10,111.60,73.00
2006,1568.90,1433.90,1329.00,820.70,375.50,113.30,82.80
2007,1610.70,1426.10,1289.50,828.00,372.50,115.50,96.00
2008,1593.50,1421.70,1345.70,917.20,357.20,113.80,95.00
2009,1645.30,1426.70,1294.40,905.70,343.70,113.70,94.20
2010,1668.00,1448.60,1249.60,980.30,342.80,113.80,99.80
2011,1621.30,1457.30,1314.80,982.20,307.70,107.00,98.20
2012,1568.40,1425.30,1334.80,1019.50,356.30,112.30,100.20
2013,1526.50,1394.80,1338.90,1066.60,337.10,108.00,99.10
2014,1478.80,1392.30,1436.10,1045.30,356.90,104.90,84.00
2015,1524.30,1414.80,1464.60,1123.90,316.40,107.10,83.90
2016,1533.00,1384.80,1531.90,1176.80,287.40,107.50,83.30
2017,1564.70,1310.00,1548.40,1209.70,334.70,110.50,90.20
2018,1555.60,1276.30,1529.50,1261.20,324.50,108.20,133.00
2019,1477.80,1207.70,1486.30,1264.90,317.70,100.10,146.50
2020,1401.60,1128.80,1442.60,1238.90,308.70,103.10,145.30
2021,1374.40,1148.10,1428.30,1257.90,301.30,105.40,149.80
2022,1439.20,1172.60,1441.70,1293.60,300.00,105.50,129.60
